Indicator,Value ,Year
,Emissions: Sum (tons of CO2eq),171764524.3,2011
,Natural gas (TJ),71768.928,2012
,Diesel oil (TJ),1463133.629,2012
,Biodiesel (TJ),71221.36825,2012
,Gasoline (TJ),1027059.275,2012
,Anhydrous ethanol (TJ),174028.8325,2012
,Hydrated ethanol (TJ),242030.6204,2012
,Energy Consumption: Sum (TJ),3049242.654,2012
,Emissions:Natural Gas (tons of CO2eq),4231639.533,2012
,Emissions: Diesel oil (tons of CO2eq),110306961.1,2012
,Emissions: Gasoline (tons of CO2eq),74261520.9,2012
,Emissions: Sum (tons of CO2eq),188800121.6,2012
,Natural gas (TJ),69189.12,2013
,Diesel oil (TJ),1560537.292,2013
,Biodiesel (TJ),75379.06858,2013
,Gasoline (TJ),1024506.132,2013
,Anhydrous ethanol (TJ),217238.4147,2013
,Hydrated ethanol (TJ),282101.4,2013
,Energy Consumption: Sum (TJ),3228951.428,2013
,Emissions:Natural Gas (tons of CO2eq),4079528.893,2013
,Emissions: Diesel oil (tons of CO2eq),117650311,2013
,Emissions: Gasoline (tons of CO2eq),74076915.87,2013
,Emissions: Sum (tons of CO2eq),195806755.7,2013
,Natural gas (TJ),66953.04,2014
,Diesel oil (TJ),1572193.551,2014
,Biodiesel (TJ),87379.3573,2014
,Gasoline (TJ),1078637.338,2014
,Anhydrous ethanol (TJ),247060.6579,2014
,Hydrated ethanol (TJ),299288.1226,2014
,Energy Consumption: Sum (TJ),3351512.067,2014
,Emissions:Natural Gas (tons of CO2eq),3947685.144,2014
,Emissions: Diesel oil (tons of CO2eq),118529086.8,2014
,Emissions: Gasoline (tons of CO2eq),77990872.72,2014
,Emissions: Sum (tons of CO2eq),200467644.7,2014
,Natural gas (TJ),65215.68808,2015
,Diesel oil (TJ),1487919.825,2015
,Biodiesel (TJ),102237.4665,2015
,Gasoline (TJ),976788.818,2015
,Anhydrous ethanol (TJ),245363.576,2015
,Hydrated ethanol (TJ),402454.5109,2015
,Energy Consumption: Sum (TJ),3279979.885,2015
,Emissions:Natural Gas (tons of CO2eq),3845247.4,2015
,Emissions: Diesel oil (tons of CO2eq),112175614.8,2015
